id,title,authors,year,scope,topic,summary,boundary,source_url,citation_number
2005.11401,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,"Patrick Lewis, Ethan Perez, Aleksandra Piktus, Fabio Petroni, Vladimir Karpukhin, Naman Goyal, Heinrich Küttler, Mike Lewis, Wen-tau Yih, Tim Rocktäschel, Sebastian Riedel, Douwe Kiela",2020,core,foundations,参数模型结合外部非参数检索用于知识密集生成,基础 RAG，不直接研究持续自写入的 Agent 生命周期,https://arxiv.org/abs/2005.11401,3
2303.11366,Reflexion: Language Agents with Verbal Reinforcement Learning,"Noah Shinn, Federico Cassano, Edward Berman, Ashwin Gopinath, Karthik Narasimhan, Shunyu Yao",2023,core,experience,语言反馈写入情景反思，指导之后的尝试,参考答案、工具反馈和自评条件应区分,https://arxiv.org/abs/2303.11366,17
2304.03442,Generative Agents: Interactive Simulacra of Human Behavior,"Joon Sung Park, Joseph C. O'Brien, Carrie J. Cai, Meredith Ringel Morris, Percy Liang, Michael S. Bernstein",2023,core,information,自然语言经历流结合反思与规划,社会模拟中的可信行为不等于部署执行安全,https://arxiv.org/abs/2304.03442,8
2305.10250,MemoryBank: Enhancing Large Language Models with Long-Term Memory,"Wanjun Zhong, Lianghong Guo, Qiqi Gao, He Ye, Yanlin Wang",2023,core,information,用户记忆更新、人格归纳、按时间与重要性强化或遗忘,个性化交互证据，不是任意行动任务验证,https://arxiv.org/abs/2305.10250,10
2305.16291,Voyager: An Open-Ended Embodied Agent with Large Language Models,"Guanzhi Wang, Yuqi Xie, Yunfan Jiang, Ajay Mandlekar, Chaowei Xiao, Yuke Zhu, Linxi Fan, Anima Anandkumar",2023,core,experience,自动课程、可执行代码技能库和反馈驱动程序改善,Minecraft 中的长期技能证据不代表通用开放世界学习,https://arxiv.org/abs/2305.16291,18
2307.03172,Lost in the Middle: How Language Models Use Long Contexts,"Nelson F. Liu, Kevin Lin, John Hewitt, Ashwin Paranjape, Michele Bevilacqua, Fabio Petroni, Percy Liang",2023,core,evaluation,分析相关信息位置对长上下文使用效果的影响,早期模型结果不能直接推断当前全部模型,https://arxiv.org/abs/2307.03172,48
2309.02427,Cognitive Architectures for Language Agents,"Theodore R. Sumers, Shunyu Yao, Karthik Narasimhan, Thomas L. Griffiths",2023,core,foundations,用模块化记忆、行动空间和决策过程组织语言 Agent 架构,概念框架，不是某一记忆实现的性能证明,https://arxiv.org/abs/2309.02427,1
2310.08560,MemGPT: Towards LLMs as Operating Systems,"Charles Packer, Sarah Wooders, Kevin Lin, Vivian Fang, Shishir G. Patil, Ion Stoica, Joseph E. Gonzalez",2023,core,information,上下文内外的分层存储与主动数据移动,解决访问容量不自动解决事实和经验正确性,https://arxiv.org/abs/2310.08560,9
2402.17753,Evaluating Very Long-Term Conversational Memory of LLM Agents,"Adyasha Maharana, Dong-Ho Lee, Sergey Tulyakov, Mohit Bansal, Francesco Barbieri, Yuwei Fang",2024,core,evaluation,长多会话对话的问答、事件与多模态交互评测,不直接测试长期工具执行；后续论文数据处理和长度可能不同,https://arxiv.org/abs/2402.17753,41
2404.09982,INMS: Memory Sharing for Large Language Model based Agents,"Hang Gao, Yongfeng Zhang",2024,core,multi-agent,在异步多 Agent 交互中结合实时过滤、存储和检索，维护共享对话记忆池，并基于交互历史改善检索中介。,首次提交于 2024 年，此处采用当前 INMS 修订版摘要；不将旧版 MS 与新版机制混用。,https://arxiv.org/abs/2404.09982,
2409.07429,Agent Workflow Memory,"Zora Zhiruo Wang, Jiayuan Mao, Daniel Fried, Graham Neubig",2024,core,experience,从轨迹归纳常见工作流，并选择性辅助未来任务,主要网页导航评测；不可当作无条件跨域技能迁移,https://arxiv.org/abs/2409.07429,19
2410.10813,LongMemEval: Benchmarking Chat Assistants on Long-Term Interactive Memory,"Di Wu, Hongwei Wang, Wenhao Yu, Yuwei Zhang, Kai-Wei Chang, Dong Yu",2024,core,evaluation,抽取、多会话、时序、知识更新与拒答五种能力,不能误写成只测静态检索；不直接评测技能安全,https://arxiv.org/abs/2410.10813,42
2501.13956,Zep: A Temporal Knowledge Graph Architecture for Agent Memory,"Preston Rasmussen, Pavlo Paliychuk, Travis Beauvais, Jack Ryan, Daniel Chalef",2025,core,information,动态时间知识图谱整合对话与业务关系,实体、关系和有效时间仍需正确识别,https://arxiv.org/abs/2501.13956,12
2502.12110,A-MEM: Agentic Memory for LLM Agents,"Wujiang Xu, Zujie Liang, Kai Mei, Hang Gao, Juntao Tan, Yongfeng Zhang",2025,core,information,属性化笔记、语义链接及历史节点更新,节点更新不等于学习更新规则；网络关联不保证来源可信,https://arxiv.org/abs/2502.12110,5
2503.03704,Memory Injection Attacks on LLM Agents via Query-Only Interaction,"Shen Dong, Shaochen Xu, Pengfei He, Yige Li, Jiliang Tang, Tianming Liu, Hui Liu, Zhen Xiang",2025,core,safety,通过查询交互诱导记忆污染，无需直接改数据库,需明确可提交查询和共享记忆等具体攻击条件,https://arxiv.org/abs/2503.03704,49
2504.19413,Mem0: Building Production-Ready AI Agents with Scalable Long-Term Memory,"Prateek Chhikara, Dev Khant, Saket Aryan, Taranjeet Singh, Deshraj Yadav",2025,core,information,提取、整合、检索对话事实，并有图记忆变体,骨干与评测条件相关；不可把对某基线的收益推广为全局排名,https://arxiv.org/abs/2504.19413,11
2506.07398,G-Memory: Tracing Hierarchical Memory for Multi-Agent Systems,"Guibin Zhang, Muxin Fu, Guancheng Wan, Miao Yu, Kun Wang, Shuicheng Yan",2025,core,multi-agent,用 insight、query、interaction 三层图组织一般经验、任务与协作轨迹，按 Agent 需求检索并持续更新。,区别于只保存最终答案：强调协作过程与跨任务经验。,https://arxiv.org/abs/2506.07398,
2506.21605,MemBench: Towards More Comprehensive Evaluation on the Memory of LLM-based Agents,"Haoran Tan, Zeyu Zhang, Chen Ma, Xu Chen, Quanyu Dai, Zhenhua Dong",2025,core,evaluation,事实/反思记忆、参与/观察场景与多维指标,能力维度丰富不代表覆盖全部 Agent 行动场景,https://arxiv.org/abs/2506.21605,44
2507.05257,Evaluating Memory in LLM Agents via Incremental Multi-Turn Interactions,"Yuanzhe Hu, Yu Wang, Julian McAuley",2025,core,evaluation,增量多轮输入下检索、学习、长程理解和选择性遗忘,选择性遗忘不等同于隐私删除或可证明 unlearning,https://arxiv.org/abs/2507.05257,43
2507.07957,MIRIX: Multi-Agent Memory System for LLM-Based Agents,"Yu Wang, Xi Chen",2025,core,multimodal,多种记忆类型和多个管理 Agent 组织长期用户信息,管理调用、视觉存储和权限边界需分别评价,https://arxiv.org/abs/2507.07957,33
